version,datatype,location,value set
2.3.1,VH,1,HL70267
2.3.1,VH,2,HL70267
2.4,CE,3,HL70396
2.4,CE,6,HL70396
2.4,CF,3,HL70396
2.4,CF,6,HL70396
2.4,CNE,3,HL70396
2.4,CNE,6,HL70396
2.4,CWE,3,HL70396
2.4,CWE,6,HL70396
2.4,VH,1,HL70267
2.4,VH,2,HL70267
2.5,CE,3,HL70396
2.5,CE,6,HL70396
2.5,CF,3,HL70396
2.5,CF,6,HL70396
2.5,CNE,3,HL70396
2.5,CNE,6,HL70396
2.5,CSU,4,HL70396
2.5,CSU,7,HL70396
2.5,CWE,3,HL70396
2.5,CWE,6,HL70396
2.5,OSD,3,HL70363
2.5,OSD,5,HL70363
2.5,OSD,9,HL70301
2.5,OSD,11,HL70301
2.5,VH,1,HL70267
2.5,VH,2,HL70267
2.6,CF,3,HL70396
2.6,CF,6,HL70396
2.6,CNE,3,HL70396
2.6,CNE,6,HL70396
2.6,CSU,4,HL70396
2.6,CSU,7,HL70396
2.6,CWE,3,HL70396
2.6,CWE,6,HL70396
2.6,OSD,3,HL70363
2.6,OSD,5,HL70363
2.6,OSD,9,HL70301
2.6,OSD,11,HL70301
2.6,VH,1,HL70267
2.6,VH,2,HL70267
2.6,XAD,16,HL70136
2.6,XAD,17,HL70136
2.7,CF,3,HL70396
2.7,CF,6,HL70396
2.7,CF,12,HL70396
2.7,CNE,3,HL70396
2.7,CNE,6,HL70396
2.7,CNE,12,HL70396
2.7,CSU,4,HL70396
2.7,CSU,7,HL70396
2.7,CSU,13,HL70396
2.7,CWE,3,HL70396
2.7,CWE,6,HL70396
2.7,CWE,12,HL70396
2.7,VH,1,HL70267
2.7,VH,2,HL70267
2.7,XAD,16,HL70136
2.7,XAD,17,HL70136
2.8,CF,3,HL70396
2.8,CF,6,HL70396
2.8,CF,12,HL70396
2.8,CNE,3,HL70396
2.8,CNE,6,HL70396
2.8,CNE,12,HL70396
2.8,CSU,4,HL70396
2.8,CSU,7,HL70396
2.8,CSU,13,HL70396
2.8,CWE,3,HL70396
2.8,CWE,6,HL70396
2.8,CWE,12,HL70396
2.8,VH,1,HL70267
2.8,VH,2,HL70267
2.8,XAD,16,HL70136
2.8,XAD,17,HL70136
2.5.1,CE,3,HL70396
2.5.1,CE,6,HL70396
2.5.1,CF,3,HL70396
2.5.1,CF,6,HL70396
2.5.1,CNE,3,HL70396
2.5.1,CNE,6,HL70396
2.5.1,CSU,4,HL70396
2.5.1,CSU,7,HL70396
2.5.1,CWE,3,HL70396
2.5.1,CWE,6,HL70396
2.5.1,OSD,3,HL70363
2.5.1,OSD,5,HL70363
2.5.1,OSD,9,HL70301
2.5.1,OSD,11,HL70301
2.5.1,VH,1,HL70267
2.5.1,VH,2,HL70267
2.7.1,CF,3,HL70396
2.7.1,CF,6,HL70396
2.7.1,CF,12,HL70396
2.7.1,CNE,3,HL70396
2.7.1,CNE,6,HL70396
2.7.1,CNE,12,HL70396
2.7.1,CSU,4,HL70396
2.7.1,CSU,7,HL70396
2.7.1,CSU,13,HL70396
2.7.1,CWE,3,HL70396
2.7.1,CWE,6,HL70396
2.7.1,CWE,12,HL70396
2.7.1,VH,1,HL70267
2.7.1,VH,2,HL70267
2.7.1,XAD,16,HL70136
2.7.1,XAD,17,HL70136
2.8.1,CF,3,HL70396
2.8.1,CF,6,HL70396
2.8.1,CF,12,HL70396
2.8.1,CNE,3,HL70396
2.8.1,CNE,6,HL70396
2.8.1,CNE,12,HL70396
2.8.1,CSU,4,HL70396
2.8.1,CSU,7,HL70396
2.8.1,CSU,13,HL70396
2.8.1,CWE,3,HL70396
2.8.1,CWE,6,HL70396
2.8.1,CWE,12,HL70396
2.8.1,VH,1,HL70267
2.8.1,VH,2,HL70267
2.8.1,XAD,16,HL70136
2.8.1,XAD,17,HL70136
2.8.2,CF,3,HL70396
2.8.2,CF,6,HL70396
2.8.2,CF,12,HL70396
2.8.2,CNE,3,HL70396
2.8.2,CNE,6,HL70396
2.8.2,CNE,12,HL70396
2.8.2,CSU,4,HL70396
2.8.2,CSU,7,HL70396
2.8.2,CSU,13,HL70396
2.8.2,CWE,3,HL70396
2.8.2,CWE,6,HL70396
2.8.2,CWE,12,HL70396
2.8.2,VH,1,HL70267
2.8.2,VH,2,HL70267
2.8.2,XAD,16,HL70136
2.8.2,XAD,17,HL70136
